date,sector,both,temp,change,temp_pct
2006,Manufacturing & Other Industry,233011,20047,0,8.6034564892
2006,Basic and Fabricated Metal Products,16192,816,0,5.0395256917
2006,Chemicals,26938,2700,0,10.0230158141
2006,"Clothing, Footwear and Leather",2577,424,0,16.4532402018
2006,"Computer, Electronic and Optical Equipment",24855,3091,0,12.4361295514
2006,"Construction, Energy, Water and Waste *",13399,364,0,2.7166206433
2006,Drink and Tobacco,6800,669,0,9.8382352941
2006,Electrical Equipment,7804,664,0,8.5084572014
2006,Food,44852,4061,0,9.0542227771
2006,Machinery and Equipment,13208,857,0,6.4884918231
2006,Medical and dental instruments and supplies,22597,2867,0,12.6875248927
2006,Miscellaneous Manufacturing,9203,696,0,7.5627512768
2006,Non-Metallic Minerals,11204,658,0,5.8729025348
2006,Paper and Printing,7911,629,0,7.9509543673
2006,Rubber and Plastics,8858,539,0,6.0848950102
2006,Textiles,2351,303,0,12.8881327095
2006,Transport Equipment,6538,249,0,3.8085041297
2006,Wood and Wood Products,7724,460,0,5.9554634904
2006,Primary Production,5635,1680,0,29.8136645963
2006,"Agriculture, Fishing and Forestry",3600,1478,0,41.0555555556
2006,Mining and Quarrying,2035,202,0,9.9262899263
2006,Services,119012,15707,0,13.1978287904
2006,Business Services,16896,2500,0,14.7964015152
2006,Computer consultancy activities,30401,3651,0,12.0094733726
2006,Computer facilities management activities,10121,617,0,6.0962355498
2006,Computer programming activities,22162,3281,0,14.8046205216
2006,Financial Services,17680,1108,0,6.2669683258
2006,Other Information and Communication,6237,1152,0,18.4704184704
2006,Other information technology and computer service activities,3404,274,0,8.0493537015
2006,Other Services,12111,3124,0,25.7947320618
2007,Manufacturing & Other Industry,231158,19036,-0.7952414264,8.2350600022
2007,Basic and Fabricated Metal Products,15780,719,-2.5444664032,4.556400507
2007,Chemicals,26695,2530,-0.9020714233,9.4774302304
2007,"Clothing, Footwear and Leather",2092,338,-18.8203337214,16.1567877629
2007,"Computer, Electronic and Optical Equipment",23985,2274,-3.5003017502,9.4809255785
2007,"Construction, Energy, Water and Waste *",14332,324,6.9632062094,2.2606754117
2007,Drink and Tobacco,6660,675,-2.0588235294,10.1351351351
2007,Electrical Equipment,7421,522,-4.9077396207,7.0340924404
2007,Food,44306,3702,-1.2173370195,8.3555274681
2007,Machinery and Equipment,12824,865,-2.9073288916,6.745165315
2007,Medical and dental instruments and supplies,23781,3386,5.2396335797,14.2382574324
2007,Miscellaneous Manufacturing,8928,735,-2.9881560361,8.2325268817
2007,Non-Metallic Minerals,11728,806,4.6769011067,6.8724420191
2007,Paper and Printing,7728,507,-2.3132347364,6.5605590062
2007,Rubber and Plastics,8745,572,-1.2756829984,6.5408805031
2007,Textiles,2384,361,1.4036580179,15.1426174497
2007,Transport Equipment,6408,228,-1.98837565,3.5580524345
2007,Wood and Wood Products,7361,492,-4.6996374935,6.6838744736
2007,Primary Production,5426,1362,-3.7089618456,25.1013638039
2007,"Agriculture, Fishing and Forestry",3444,1207,-4.3333333333,35.0464576074
2007,Mining and Quarrying,1982,155,-2.6044226044,7.8203834511
2007,Services,124398,15944,4.5255940577,12.8169263171
2007,Business Services,18295,2513,8.2800662879,13.7359934408
2007,Computer consultancy activities,30867,3892,1.5328443143,12.6089351087
2007,Computer facilities management activities,8953,493,-11.5403616243,5.5065341226
2007,Computer programming activities,21279,2478,-3.9842974461,11.6452840829
2007,Financial Services,20629,1204,16.6798642534,5.8364438412
2007,Other Information and Communication,6881,1233,10.3254769921,17.9189071356
2007,Other information technology and computer service activities,4893,685,43.7426556992,13.9995912528
2007,Other Services,12601,3446,4.0459086781,27.3470359495
2008,Manufacturing & Other Industry,219955,16951,-4.8464686491,7.7065763452
2008,Basic and Fabricated Metal Products,14447,761,-8.4474017744,5.2675295909
2008,Chemicals,26238,2384,-1.7119310732,9.0860583886
2008,"Clothing, Footwear and Leather",1837,320,-12.189292543,17.4197060425
2008,"Computer, Electronic and Optical Equipment",22787,1956,-4.9947884094,8.5838416641
2008,"Construction, Energy, Water and Waste *",14434,362,0.7116941111,2.5079672994
2008,Drink and Tobacco,6734,667,1.1111111111,9.904959905
2008,Electrical Equipment,6776,477,-8.6915510039,7.0395513577
2008,Food,42895,3644,-3.1846702478,8.4951626064
2008,Machinery and Equipment,12013,592,-6.3240798503,4.9279946724
2008,Medical and dental instruments and supplies,23223,2645,-2.3464110004,11.3895706842
2008,Miscellaneous Manufacturing,8225,731,-7.8741039427,8.8875379939
2008,Non-Metallic Minerals,10427,499,-11.0931105048,4.7856526326
2008,Paper and Printing,7287,476,-5.7065217391,6.5321805956
2008,Rubber and Plastics,8357,566,-4.4368210406,6.7727653464
2008,Textiles,2189,299,-8.1795302013,13.6592051165
2008,Transport Equipment,6207,235,-3.1367041199,3.7860480103
2008,Wood and Wood Products,5879,337,-20.133134085,5.7322673924
2008,Primary Production,4790,764,-11.7213416882,15.9498956159
2008,"Agriculture, Fishing and Forestry",2894,595,-15.9698025552,20.5597788528
2008,Mining and Quarrying,1896,169,-4.3390514632,8.9135021097
2008,Services,125997,14517,1.2853904404,11.5217028977
2008,Business Services,19418,2723,6.13828915,14.0230713771
2008,Computer consultancy activities,29704,2744,-3.7677778858,9.2378130891
2008,Computer facilities management activities,8584,580,-4.1215235117,6.7567567568
2008,Computer programming activities,22153,2776,4.107335871,12.5310341714
2008,Financial Services,21746,1340,5.4147074507,6.1620527913
2008,Other Information and Communication,7162,1305,4.0837087633,18.2211672717
2008,Other information technology and computer service activities,5348,664,9.2989985694,12.4158563949
2008,Other Services,11882,2385,-5.7058963574,20.0723783875
2009,Manufacturing & Other Industry,196385,16719,-10.7158282376,8.5133793314
2009,Basic and Fabricated Metal Products,11446,748,-20.7724787153,6.535034073
2009,Chemicals,24698,2352,-5.869349798,9.5230383027
2009,"Clothing, Footwear and Leather",1757,393,-4.3549265106,22.3676721685
2009,"Computer, Electronic and Optical Equipment",20091,1223,-11.8313073244,6.0873027724
