County,2002,2006,2011,2016,Change_02_06,Change_06_11,Change_11_16
Carlow,46014,50349,54612,56875,9.4210457687,8.4669010308,4.1437779243
Cavan,56546,64003,73183,76092,13.1874933682,14.3430776682,3.9749668639
Clare,103277,110950,117196,118627,7.4295341654,5.6295628662,1.2210314345
Cork,447829,481295,519032,542196,7.4729416809,7.8407213871,4.462923288
Donegal,137575,147264,161137,158755,7.0427039796,9.4204965233,-1.4782452199
Dublin,1122821,1187176,1273069,1345402,5.7315458118,7.2350687682,5.6817815845
Galway,209077,231670,250653,258552,10.8060666644,8.1939828204,3.1513686252
Kerry,132527,139835,145502,147554,5.5143480196,4.0526334609,1.4102898929
Kildare,163944,186335,210312,222130,13.6577123896,12.8676845466,5.6192704173
Kilkenny,80339,87558,95419,99118,8.9856732098,8.9780488362,3.8765864241
Laois,58774,67059,80559,84732,14.0963691428,20.1315259697,5.1800543701
Leitrim,25799,28950,31798,31972,12.2136516919,9.8376511226,0.5472042267
Limerick,175304,184055,191809,195175,4.9918997855,4.2128711526,1.7548707308
Longford,31068,34391,39000,40810,10.6958928801,13.4017620889,4.641025641
Louth,101821,111267,122897,128375,9.2770646527,10.4523353735,4.4573911487
Mayo,117446,123839,130638,130425,5.4433526897,5.4901929118,-0.1630459744
Meath,134005,162831,184135,194942,21.5111376441,13.0835037554,5.8690634589
Monaghan,52593,55997,60483,61273,6.4723442283,8.0111434541,1.3061521419
Offaly,63663,70868,76687,78003,11.3174057145,8.2110402438,1.7160666084
Roscommon,53774,58768,64065,64436,9.2870160301,9.0134086578,0.5790993522
Sligo,58200,60894,65393,65357,4.6288659794,7.3882484317,-0.055051764
Tipperary,140131,149244,158754,160441,6.5032005766,6.3721154619,1.0626503899
Waterford,101546,107961,113795,116401,6.3173340161,5.4038032252,2.2900830441
Westmeath,71858,79346,86164,88396,10.4205516435,8.5927456961,2.5904089875
Wexford,116596,131749,145320,149605,12.9961576726,10.3006474432,2.9486650151
Wicklow,114676,126194,136640,142332,10.0439499111,8.2777311124,4.1656908665
