date,band,Audi,BMW,Citroen,Dacia,Ford,Honda,Hyundai,Kia,Mazda,Mercedes Benz,Nissan,Opel,Peugeot,Renault,Seat,Skoda,Toyota,Volkswagen,Volvo
2010,A,515,483,453,0,4955,197,877,1327,962,1,174,913,1172,5328,376,1733,3731,4514,555
2011,A,767,657,615,0,5513,97,1594,1076,1070,17,1507,2060,1005,5916,753,2151,3543,6450,616
2012,A,1423,1380,594,0,4970,246,2716,1288,862,171,1550,3456,1202,3592,701,2716,6104,6033,730
2013,A,1788,1774,711,0,5964,472,2933,1443,1075,360,1155,3679,1675,2200,1504,3151,4986,6703,621
2014,A,2249,2166,1180,617,7990,779,3718,1474,1513,863,5085,4513,2197,3237,1629,4797,7384,8481,907
2015,A,3649,3183,1709,1691,10014,897,5529,1671,1935,1357,8627,5706,2784,4250,1674,6624,9381,12718,1163
2010,B,1455,1406,428,0,3330,536,1093,911,741,314,3666,4367,1482,4203,1013,2219,4703,4617,129
2011,B,1781,2268,541,0,3733,660,1564,1351,664,564,4525,3873,1597,2505,917,1792,7108,4225,280
2012,B,1671,1524,543,0,2478,649,1606,1413,493,1292,4000,1439,953,1509,502,1531,2997,3437,149
2013,B,1351,1361,466,0,823,327,1760,1528,271,923,3675,881,417,1116,547,1238,2023,2160,142
2014,B,1386,1219,139,1919,791,391,2900,2372,225,944,1541,1456,588,1444,593,1086,2121,2550,133
2015,B,963,894,148,1969,1686,476,4189,3269,178,951,2146,1310,647,1723,721,717,2879,1846,232
2010,C,533,315,175,0,1343,171,537,68,209,1082,732,682,178,30,162,629,517,565,93
2011,C,385,190,73,0,398,92,259,50,11,991,180,180,87,19,48,438,117,178,218
2012,C,153,297,5,0,279,92,360,157,10,168,124,94,39,16,54,308,36,198,131
2013,C,202,227,3,0,97,115,674,134,9,46,156,108,15,3,107,129,101,173,33
2014,C,293,298,2,0,157,88,668,156,23,110,41,144,9,0,112,105,56,221,0
2015,C,234,349,8,0,23,35,793,257,59,146,51,185,6,1,118,79,67,254,104
2010,D,140,197,5,0,864,160,71,33,279,388,656,240,24,32,26,83,1406,190,74
2011,D,224,85,0,0,375,25,208,40,6,210,190,121,5,18,4,76,228,70,22
2012,D,246,15,6,0,224,10,116,28,3,113,80,20,1,5,1,107,210,30,9
2013,D,165,20,2,0,105,5,10,15,1,39,29,21,1,1,0,73,23,14,20
2014,D,156,154,1,0,63,14,11,21,0,23,1,23,2,0,0,17,6,17,27
2015,D,163,198,2,0,45,2,33,38,0,37,0,113,3,98,0,7,6,98,13
2010,E,99,90,2,0,116,61,233,131,51,167,47,155,7,12,23,3,20,48,29
2011,E,140,33,1,0,40,49,106,60,1,52,56,18,3,8,5,0,18,24,38
2012,E,116,36,5,0,39,31,118,90,0,14,17,6,4,5,1,0,25,32,45
2013,E,43,3,5,0,14,24,163,29,2,4,11,26,1,24,0,1,33,30,17
2014,E,62,15,5,0,18,14,109,39,3,3,1,12,6,21,0,0,31,32,0
2015,E,44,12,9,0,21,5,196,53,1,6,2,8,7,32,1,0,29,51,0
2010,F,30,66,3,0,14,6,29,28,2,118,12,23,2,14,0,0,12,33,46
2011,F,23,85,5,0,17,24,46,10,1,12,43,24,0,8,0,0,44,56,59
2012,F,14,58,3,0,9,20,26,16,2,11,26,1,0,10,0,0,41,46,53
2013,F,4,27,0,0,18,0,7,1,0,7,6,5,0,5,0,0,13,18,23
2014,F,8,7,3,0,11,1,3,0,0,13,19,7,0,65,0,0,59,26,108
2015,F,7,13,4,0,18,0,1,0,0,14,17,2,0,6,0,0,46,48,3
2010,G,22,4,0,0,1,0,0,3,2,42,5,4,0,0,0,0,4,10,6
2011,G,11,0,0,0,0,0,1,0,0,15,3,0,0,0,0,0,0,0,0
2012,G,1,5,0,0,3,0,0,0,0,2,2,1,0,5,0,0,0,3,1
2013,G,1,2,0,0,5,0,0,0,1,3,1,1,1,7,0,1,1,0,0
2014,G,3,0,0,0,10,0,0,0,0,2,2,1,2,54,0,0,1,1,0
2015,G,2,2,0,0,15,0,2,0,0,8,0,1,0,0,0,0,1,1,0
2010,X,0,3,6,0,27,4,3,9,2,3,3,60,24,13,1,0,41,10,0
2011,X,0,0,16,0,32,4,1,1,0,5,52,25,25,4,1,0,7,4,0
2012,X,0,0,2,0,12,3,0,0,0,2,3,2,2,0,1,0,1,3,0
2013,X,0,0,0,0,6,5,1,1,0,1,1,0,1,0,0,0,0,0,0
2014,X,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,1,0
2015,X,0,0,0,0,1,1,0,0,0,6,0,1,2,0,0,0,0,0,0
