Year,Band,Audi,BMW,Chevrolet,Citroen,Dacia,Fiat,Ford,Honda,Hyundai,Kia,Land Rover,Lexus,Mazda,Mercedes Benz,Mitsubishi,Nissan,Opel,Peugeot,Renault,Seat,Skoda,Suzuki,Toyota,Volkswagen,Volvo
2005,A,3,8,0,99,0,34,153,1,0,392,1,0,34,4,29,1,55,503,349,1,0,35,358,2,3
2006,A,2,4,0,293,0,13,203,11,2,350,2,1,13,5,13,0,68,475,161,1,0,3,1064,10,0
2007,A,3,5,1,114,0,23,106,141,0,292,9,0,2,4,21,3,13,660,85,2,7,6,970,59,0
2008,A,34,45,2,194,0,320,1115,346,373,373,0,0,33,1,9,0,284,947,25,142,68,43,827,106,0
2009,A,153,67,0,189,0,273,1237,116,380,444,0,0,44,1,1,209,193,477,596,59,62,70,882,1361,19
2010,A,515,483,0,453,0,1073,4955,197,877,1327,1,0,962,1,1,174,913,1172,5328,376,1733,210,3731,4514,555
2011,A,767,657,32,615,0,661,5513,97,1594,1076,0,155,1070,17,65,1507,2060,1005,5916,753,2151,260,3543,6450,616
2012,A,1423,1380,17,594,0,494,4970,246,2716,1288,0,103,862,171,80,1550,3456,1202,3592,701,2716,273,6104,6033,730
2013,A,1788,1774,2,711,0,469,5964,472,2933,1443,0,92,1075,360,157,1155,3679,1675,2200,1504,3151,321,4986,6703,621
2014,A,2249,2166,0,1180,617,494,7990,779,3718,1474,0,266,1513,863,199,5085,4513,2197,3237,1629,4797,411,7384,8481,907
2015,A,3649,3183,0,1709,1691,499,10014,897,5529,1671,1,270,1935,1357,237,8627,5706,2784,4250,1674,6624,634,9381,12718,1163
2005,B,158,1,0,174,0,1803,816,546,806,135,0,0,0,9,838,8,2467,478,1518,565,1536,2,4688,1531,173
2006,B,193,0,0,214,0,843,1508,1309,696,178,5,0,1,5,679,12,2813,273,2760,282,1567,0,6274,1867,550
2007,B,192,97,0,202,0,925,1811,1518,606,243,2,1,262,12,756,1,4949,359,2118,198,2432,3,6802,3935,575
2008,B,788,1593,535,408,0,727,3106,1232,870,1737,0,0,784,14,351,3918,3956,694,3832,1249,2170,494,5413,3784,371
2009,B,1403,827,76,278,0,262,3662,523,603,798,0,0,444,22,149,3113,1177,440,1394,478,1466,307,3721,2260,350
2010,B,1455,1406,314,428,0,435,3330,536,1093,911,0,139,741,314,306,3666,4367,1482,4203,1013,2219,304,4703,4617,129
2011,B,1781,2268,359,541,0,201,3733,660,1564,1351,0,219,664,564,228,4525,3873,1597,2505,917,1792,317,7108,4225,280
2012,B,1671,1524,3,543,0,88,2478,649,1606,1413,15,130,493,1292,171,4000,1439,953,1509,502,1531,273,2997,3437,149
2013,B,1351,1361,0,466,0,41,823,327,1760,1528,21,74,271,923,241,3675,881,417,1116,547,1238,219,2023,2160,142
2014,B,1386,1219,0,139,1919,117,791,391,2900,2372,40,55,225,944,350,1541,1456,588,1444,593,1086,204,2121,2550,133
2015,B,963,894,0,148,1969,160,1686,476,4189,3269,95,213,178,951,587,2146,1310,647,1723,721,717,231,2879,1846,232
2005,C,1216,604,0,2751,0,209,5922,1259,987,71,1,0,282,287,461,2532,4454,5215,1167,1278,1151,761,1605,4458,632
2006,C,978,669,180,1815,0,1724,8000,585,887,880,1,0,183,220,308,4568,5602,5125,519,1233,913,1385,1737,6605,382
2007,C,1180,767,397,1253,0,1021,6041,453,988,1326,0,0,205,214,198,4546,6264,5446,292,1312,639,1497,1969,5288,309
