year,Manufacturing & Other Industry,Basic and Fabricated Metal Products,Chemicals,"Clothing, Footwear and Leather","Computer, Electronic and Optical Equipment","Construction, Energy, Water and Waste *",Drink and Tobacco,Electrical Equipment,Food,Machinery and Equipment,Medical and dental instruments and supplies,Miscellaneous Manufacturing,Non-Metallic Minerals,Paper and Printing,Rubber and Plastics,Textiles,Transport Equipment,Wood and Wood Products,Primary Production,"Agriculture, Fishing and Forestry",Mining and Quarrying,Services,Business Services,Computer consultancy activities,Computer facilities management activities,Computer programming activities,Financial Services,Other Information and Communication,Other information technology and computer service activities,Other Services
2006,8.6,5.04,10.02,16.45,12.44,2.72,9.84,8.51,9.05,6.49,12.69,7.56,5.87,7.95,6.08,12.89,3.81,5.96,29.81,41.06,9.93,13.2,14.8,12.01,6.1,14.8,6.27,18.47,8.05,25.79
2007,8.24,4.56,9.48,16.16,9.48,2.26,10.14,7.03,8.36,6.75,14.24,8.23,6.87,6.56,6.54,15.14,3.56,6.68,25.1,35.05,7.82,12.82,13.74,12.61,5.51,11.65,5.84,17.92,14,27.35
2008,7.71,5.27,9.09,17.42,8.58,2.51,9.9,7.04,8.5,4.93,11.39,8.89,4.79,6.53,6.77,13.66,3.79,5.73,15.95,20.56,8.91,11.52,14.02,9.24,6.76,12.53,6.16,18.22,12.42,20.07
2009,8.51,6.54,9.52,22.37,6.09,3.61,13.65,7.23,9.2,7.6,10.35,11.15,7.11,6.71,8.41,17.07,5.73,7.83,13.58,14,12.98,12.04,15.63,9.16,6.75,13.72,6.29,17.76,11.27,20.44
2010,10.04,8.35,10.99,20.55,10.39,5.34,15.72,11.64,10.32,9.1,9.51,12.26,11.27,8.22,7.86,20.97,7.31,7.34,14.84,13.46,16.71,13.25,19.78,9.76,7.44,14.02,7.35,16.76,16.23,20.31
2011,10.74,8.73,12.33,21.29,11.3,5.37,9.74,13.78,10.97,8.59,12.15,12.93,11.76,9.04,9.65,20.66,5.68,7.37,13.55,11.5,16.45,13.23,20.28,11.54,9.75,10.56,7.59,18.94,11.35,21.78
2012,10.5,8.64,12.22,20.77,9.66,5.43,6.2,11.87,10.92,7.86,13.85,12.51,11.04,8.7,8.82,18.38,7.15,6.98,12.33,12.4,12.21,13.17,18.25,12.17,9.02,12.08,6.82,19.51,10.76,22.41
2013,11.12,8.4,12.42,18.2,9.84,8.42,8.26,9.65,12.49,7.39,14.53,12.43,10.65,8.6,9.32,19.85,8.79,7.24,13.92,10.05,20.15,13.88,18.45,13.48,9.87,12.62,7.22,18.88,13.62,22.36
2014,10.95,7.57,12.85,20.2,9.13,10.02,9.45,7.73,12.47,7.73,12.76,11.85,12.42,8.39,9.81,18.62,9.71,6.24,16.67,10.75,25.61,13.37,22.01,11.62,10.01,8.41,7.4,17.74,12.36,22.74
2015,10.68,8.24,12.74,19.24,9.42,5.19,9.1,7.34,12.42,6.38,14.19,12.39,10.79,8.29,8.46,17.29,7.73,6.71,15.93,9.32,25.76,13.48,23.38,11.21,7.1,8.8,8.04,17.74,12.23,22.19
